fecha;emisor;valor;valor_nominal_usd;precio_usd;numero_acciones;valor_efectivo_usd;procedencia
16/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
16/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
17/01/2023;TECAFORTUNA SA;ACCIONES;1.00;3.17;10000;31700.00;G
17/01/2023;CERVECERIA NACIONAL CN S A;ACCIONES;1.00;59.00;20;1180.00;G
17/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;1397;2989.58;Q
17/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;465;999.75;Q
17/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;1614;3453.96;Q
17/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.85;13000;11050.00;Q
17/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.85;17454;14835.90;Q
17/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.85;17454;14835.90;Q
17/01/2023;CONCLINA C A  CIA CONJU CLINICO NACIONAL;ACCIONES;1.00;1.00;5000;5000.00;Q
17/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;2000;4300.00;Q
17/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;306;654.84;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
17/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
