fecha;emisor;porcentaje_precio;valor_nominal_usd;valor_efectivo_usd;fecha_emision;fecha_vencimiento;porcentaje_rendimiento;procedencia;observaciones
24/01/2023;DITEINCORP SA;99.2802;29287.96;29077.15;22/09/2022;21/02/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
24/01/2023;PRODUCTORA CARTONERA S.A.;95.8543;17528.22;16801.55;16/01/2023;15/07/2023;9.00;G;ACEPTANTE: INDUSTRIAS ALES - RUC: 1390000991001                                                                                                       
24/01/2023;LIPROIN SA;98.8386;5744.17;5677.46;13/12/2022;13/03/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
24/01/2023;LIPROIN SA;98.8386;16741.92;16547.49;12/12/2022;12/03/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
24/01/2023;ECUADPREMEX SA;99.3597;10218.00;10152.57;21/10/2022;18/02/2023;8.00;Q;ACEPTANTE: CORPORACION FERNANDEZ S.A. - RUC: 0992142618001                                                                                            
25/01/2023;ECUADPREMEX SA;99.3816;7958.25;7909.04;21/10/2022;18/02/2023;8.00;Q;ACEPTANTE: CORPORACION FERNANDEZ S.A. - RUC: 0992142618001                                                                                            
25/01/2023;PRODUCTORA CARTONERA S.A.;98.5586;98132.24;96717.74;25/01/2023;20/03/2023;9.75;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
25/01/2023;PRODUCTORA CARTONERA S.A.;98.5586;100054.90;98612.69;25/01/2023;20/03/2023;9.75;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
25/01/2023;PRODUCTORA CARTONERA S.A.;98.5586;98998.86;97571.87;25/01/2023;20/03/2023;9.75;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
25/01/2023;PRODUCTORA CARTONERA S.A.;98.5586;101424.02;99962.07;25/01/2023;20/03/2023;9.75;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
25/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.2381;10259.98;9771.41;25/01/2023;24/07/2023;10.00;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
25/01/2023;ECUADPREMEX SA;99.5438;42820.94;42625.57;16/12/2022;14/02/2023;8.25;Q;ACEPTANTE: ALIMENTOS BALANCEADOS AVIFORTE CIA LTDA - RUC: 1792133203001                                                                               
26/01/2023;PRODUCTORA CARTONERA S.A.;97.7756;45965.65;44943.19;26/01/2023;27/04/2023;9.00;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
26/01/2023;PRODUCTORA CARTONERA S.A.;97.7756;45965.65;44943.19;26/01/2023;27/04/2023;9.00;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
26/01/2023;PRODUCTORA CARTONERA S.A.;97.7756;45965.65;44943.19;26/01/2023;27/04/2023;9.00;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
26/01/2023;SURGALARE SA;96.1680;46703.99;44914.28;26/01/2023;25/06/2023;9.50;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
26/01/2023;SURGALARE SA;96.1680;46703.99;44914.28;26/01/2023;25/06/2023;9.50;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
26/01/2023;SURGALARE SA;96.1680;46703.99;44914.28;26/01/2023;25/06/2023;9.50;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
26/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.2381;16867.20;16064.00;26/01/2023;25/07/2023;10.00;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
27/01/2023;TADEC TECNICOS AGROPECUARIOS DEL ECUADOR;97.6040;11050.18;10785.41;09/12/2022;08/05/2023;8.75;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
27/01/2023;TADEC TECNICOS AGROPECUARIOS DEL ECUADOR;97.3499;10206.76;9936.27;20/12/2022;19/05/2023;8.75;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
27/01/2023;VECTORQUIM CIA LTDA;95.4895;9598.50;9165.55;26/01/2023;25/07/2023;9.50;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
